"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DDD","3D Systems Corporation","54.4","5630941606.4","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","141.14","92344860009.58","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","34.59","1137099380.55","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","37.25","2959078388.5","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"AHC","A.H. Belo Corporation","11.27","248113839.75","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","10.64","638979699.12","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","24.6","973386330","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","32.93","2378584184.11","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","23.85","54870485900.4","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","39.6","59476766104.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","53.95","85784085463.05","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","37.16","2704323124.76","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"GCH","Aberdeen Greater China Fund, Inc.","10.19","247291042.28","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.705","95033411.37","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","13.06","99932351.28","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"ABM","ABM Industries Incorporated","27.25","1522254433","n/a","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","27.46","1575563138.52","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"ACN","Accenture plc.","79.79","64671603599.93","n/a","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ACMP","Access Midstream Partmers, L.P.","62.03","12535662425.54","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/acmp",
"ACCO","Acco Brands Corporation","6.04","689162272.56","n/a","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"ACW","Accuride Corporation New","5.59","266656997.36","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"ACE","Ace Limited","102.91","34752728302.37","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ace",
"ATV","Acorn International, Inc.","1.8","49649873.4","n/a","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
"ACT","Actavis, Inc.","213.77","37294030740.98","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/act",
"ATU","Actuant Corporation","35.26","2504034350.14","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","124.65","5385945383.55","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ayi",
"ADX","Adams Express Company (The)","13.36","1242765129.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adx",
"AGRO","Adecoagro S.A.","9.17","1122242940","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"PVD","Administradora de Fondos de Pensiones-Provida, S.A.","92.7","2047536649.8","n/a","1994","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pvd",
"ADT","ADT Corporation","32.89","5730939066.71","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/adt",
"AAP","Advance Auto Parts Inc","123.24","8989193135.52","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AMD","Advanced Micro Devices, Inc.","4.02","3063408369.66","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ASX","Advanced Semiconductor Engineering, Inc.","6.28","9558314871.08","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AAV","Advantage Oil & Gas Ltd","5.78","977372504.42","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"ATE","Advantest Corporation (Kabushiki Kaisha Advantest) ADS","11.12","1937086274.72","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ate",
"AVK","Advent Claymore Convertible Securities and Income Fund","18.43","434595544.68","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","7.58","244384657.6","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","10.07","136982461.75","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/lcm",
"ACM","Aecom Technology Corporation","31.48","3124398751.44","n/a","2007","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","10.37","490210847.4","n/a","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","23.01","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.4701","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEF/CL","Aegon NV","25.44","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aef/cl",
"AEG","Aegon NV","8.63","21477131407.33","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.82","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","28.47","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","46.83","5328607277.7","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"ARX","Aeroflex Holding Corp.","10.53","897312854.88","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/arx",
"HIVE","Aerohive Networks, Inc.","9.25","422111438.25","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"ARO","Aeropostale Inc","3.41","267678827.9","n/a","2002","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/aro",
"AET","Aetna Inc.","76.39","27301786000","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aet",
"AFM","Affiliated Managers Group, Inc.","25.75","0","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/afm",
"AMG","Affiliated Managers Group, Inc.","189.85","10495104684.6","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","25.5","0","n/a","2012","Finance","Investment Managers","http://www.nasdaq.com/symbol/mgr",
"AFL","Aflac Incorporated","61.31","27843571031.09","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afl",
"AFSD","Aflac Incorporated","24.6465","0","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/afsd",
"MITT","AG Mortgage Investment Trust, Inc.","19.12","542678352.08","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.65","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","24.72","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mitt^b",
